"zcta","county","tract","CountyName","ZIPName","hus20","IntPtLat","IntPtLon","afact2","afact"
"ZIP census tabulation area","County code","Tract","County name","ZIP Code name","Total housing units (2020 Census)","Weighted centroid latitude","Weighted centroid west longitude","tract-to-zcta allocation factor","zcta-to-tract allocation factor"
" ","36005","0504.00","Bronx NY","[not in a ZCTA]",1,40.850219,-73.805066,0.5,0.023256 
" ","36027","1408.01","Dutchess NY","[not in a ZCTA]",1,41.583854,-73.948315,0.000926,0.023256 
" ","36033","9509.00","Franklin NY","[not in a ZCTA]",1,44.136139,-74.310263,0.000496,0.023256 
" ","36041","9501.00","Hamilton NY","[not in a ZCTA]",4,44.109082,-74.292252,0.001597,0.093023 
" ","36045","0604.02","Jefferson NY","[not in a ZCTA]",7,43.896068,-76.341485,0.004154,0.162791 
" ","36045","0617.00","Jefferson NY","[not in a ZCTA]",1,43.90528,-76.207508,0.000473,0.023256 
" ","36061","0167.00","New York NY","[not in a ZCTA]",8,40.788225,-73.987545,0.002096,0.186046 
" ","36061","0191.00","New York NY","[not in a ZCTA]",1,40.803297,-73.976758,0.000202,0.023256 
" ","36075","0206.00","Oswego NY","[not in a ZCTA]",1,43.234736,-75.937748,0.000422,0.023256 
" ","36081","1010.04","Queens NY","[not in a ZCTA]",5,40.594514,-73.748001,0.002107,0.116279 
" ","36099","9510.00","Seneca NY","[not in a ZCTA]",1,42.56612,-76.62551,0.000773,0.023256 
" ","36103","1595.10","Suffolk NY","[not in a ZCTA]",1,40.727884,-72.918825,0.000502,0.023256 
" ","36103","1702.06","Suffolk NY","[not in a ZCTA]",3,41.253854,-72.001357,0.001273,0.069767 
" ","36103","1905.04","Suffolk NY","[not in a ZCTA]",1,40.775229,-72.712028,0.000498,0.023256 
" ","36111","9517.00","Ulster NY","[not in a ZCTA]",1,41.936168,-73.960722,0.000401,0.023256 
" ","36119","0004.03","Westchester NY","[not in a ZCTA]",4,40.944194,-73.900815,0.002298,0.093023 
" ","36119","0133.01","Westchester NY","[not in a ZCTA]",1,41.155828,-73.883409,0.00064,0.023256 
" ","36123","1504.00","Yates NY","[not in a ZCTA]",1,42.506459,-77.145993,0.000463,0.023256 
"06390","36103","1702.06","Suffolk NY","Fishers Island, NY (PO boxes)",606,41.270863,-71.986677,0.257215,1 
"10001","36061","0058.00","New York NY","New York, NY",1190,40.74491,-73.989968,0.352279,0.062876 
"10001","36061","0076.00","New York NY","New York, NY",1900,40.74781,-73.986894,1,0.100391 
"10001","36061","0091.00","New York NY","New York, NY",2016,40.745814,-73.995533,0.414985,0.10652 
"10001","36061","0093.00","New York NY","New York, NY",1650,40.748223,-74.000828,0.285418,0.087182 
"10001","36061","0095.00","New York NY","New York, NY",1697,40.747042,-73.993011,1,0.089665 
"10001","36061","0097.00","New York NY","New York, NY",2790,40.749241,-73.998079,1,0.147416 
"10001","36061","0099.01","New York NY","New York, NY",44,40.749366,-74.004881,0.032047,0.002325 
"10001","36061","0099.02","New York NY","New York, NY",2598,40.751909,-74.002952,1,0.137271 
"10001","36061","0099.03","New York NY","New York, NY",390,40.753381,-74.001917,0.258792,0.020607 
"10001","36061","0101.00","New York NY","New York, NY",1368,40.748647,-73.990641,0.997812,0.072281 
"10001","36061","0103.00","New York NY","New York, NY",2234,40.752161,-73.996974,0.991567,0.118039 
"10001","36061","0109.00","New York NY","New York, NY",3,40.752352,-73.991489,0.019608,0.000159 
"10001","36061","0111.00","New York NY","New York, NY",1046,40.754523,-73.997146,0.306655,0.055268 
"10002","36061","0002.01","New York NY","New York, NY",842,40.713015,-73.986017,1,0.021208 
"10002","36061","0002.02","New York NY","New York, NY",3512,40.712565,-73.981743,1,0.088459 
"10002","36061","0006.00","New York NY","New York, NY",5790,40.711795,-73.990024,1,0.145836 
"10002","36061","0008.00","New York NY","New York, NY",4809,40.711712,-73.99524,1,0.121127 
"10002","36061","0010.01","New York NY","New York, NY",907,40.714318,-73.978418,1,0.022845 
"10002","36061","0010.02","New York NY","New York, NY",2419,40.717426,-73.978007,1,0.060929 
"10002","36061","0012.00","New York NY","New York, NY",1851,40.715678,-73.982479,1,0.046622 
"10002","36061","0014.01","New York NY","New York, NY",1871,40.715152,-73.987212,1,0.047126 
"10002","36061","0014.02","New York NY","New York, NY",1833,40.717648,-73.986,1,0.046169 
"10002","36061","0016.00","New York NY","New York, NY",3563,40.715803,-73.992908,1,0.089744 
"10002","36061","0018.00","New York NY","New York, NY",3942,40.718906,-73.990506,1,0.09929 
"10002","36061","0020.00","New York NY","New York, NY",226,40.71938,-73.975844,0.120598,0.005692 
"10002","36061","0022.01","New York NY","New York, NY",3357,40.719017,-73.982149,1,0.084555 
"10002","36061","0030.01","New York NY","New York, NY",3005,40.721021,-73.986824,1,0.075689 
"10002","36061","0030.02","New York NY","New York, NY",144,40.721983,-73.984877,0.075039,0.003627 
"10002","36061","0036.01","New York NY","New York, NY",1631,40.722351,-73.991054,1,0.041081 
"10003","36061","0036.02","New York NY","New York, NY",1637,40.724479,-73.990103,1,0.05094 
"10003","36061","0038.00","New York NY","New York, NY",5799,40.727232,-73.988359,1,0.180452 
"10003","36061","0040.01","New York NY","New York, NY",2380,40.729915,-73.985166,1,0.07406 
"10003","36061","0040.02","New York NY","New York, NY",2297,40.731494,-73.986945,1,0.071477 
"10003","36061","0042.00","New York NY","New York, NY",1906,40.73215,-73.989143,1,0.05931 
"10003","36061","0048.00","New York NY","New York, NY",3857,40.734109,-73.984198,1,0.120021 
"10003","36061","0050.00","New York NY","New York, NY",3660,40.73581,-73.987124,0.986523,0.113891 
"10003","36061","0052.00","New York NY","New York, NY",1434,40.736873,-73.991451,0.797109,0.044623 
"10003","36061","0055.02","New York NY","New York, NY",61,40.727361,-73.992516,0.046923,0.001898 
"10003","36061","0057.00","New York NY","New York, NY",1853,40.73004,-73.992471,0.99946,0.057661 
"10003","36061","0059.00","New York NY","New York, NY",3388,40.73154,-73.994284,1,0.105427 
